92年度至104年度營利事業所得稅實徵數及預算數統計表,,
,,單位:新臺幣億元
"　　　　　　金額
年度",實徵數,預算數
,,
92年度,"2,136.83","2,451.98"
93年度,"2,410.89","2,331.11"
94年度,"3,293.57","2,429.56"
95年度,"3,118.88","2,763.49"
96年度,"3,826.34","3,438.94"
97年度,"4,452.45","3,867.59"
98年度,"3,341.63","4,051.94"
99年度,"2,857.01","3,232.60"
100年度,"3,671.86","2,916.42"
101年度,"3,677.44","3,515.53"
102年度,"3,511.15","3,891.68"
103年度,"4,026.32","3,877.11"
104年度,"4,627.84","3,927.47"
,,製表日期：105年9月
